id,code,name,description
discount_code_1,1,Handling commission,"Fee for the processing of documentary credit, collection and payment which are charged to the customer."
discount_code_2,2,Amendment commission,Fee for amendments in documentary credit and collection business (not extensions and increases of documentary credits).
discount_code_3,3,Acceptance commission,Fee for the acceptance of draft in documentary credit and collection business which are drawn on us (also to be seen as a kind of 'guarantee commission').
discount_code_4,4,Commission for obtaining acceptance,Fee for obtaining an acceptance under collections on the basis of 'documents against acceptance'.
discount_code_5,5,Commission on delivery,Fee for delivery of documents without corresponding payment.
discount_code_6,6,Advising commission,Fee for advising documentary credits (charged also in case of confirmed credits).
discount_code_7,7,Confirmation commission,Fee for confirmation of credit.
discount_code_8,8,Deferred payment commission,Fee for the deferred payment period under documentary credits confirmed by bank. This fee are charges for the period from presentation of the document until due date of payment.
discount_code_9,9,Commission for taking up documents,Fee charged to the foreign bank for the processing of documentary credit.
discount_code_10,10,Opening commission,Fee for opening revocable documentary credit.
discount_code_11,11,Fee for payment under reserve,Fee charged to the customer for discrepancies in credit documents in the case of which the bank have to stipulate payment under reserve.
discount_code_12,12,Discrepancy fee,Fee charged to the foreign bank for discrepancies in credit documents.
discount_code_13,13,Domicilation commission,Fee for the domicilation of bills with the bank.
discount_code_14,14,Commission for release of goods,Commission for the release of goods sent to the bank.
discount_code_15,15,Collection commission,Fee for settling collections on the basis of 'documents against payments'.
discount_code_16,16,Negotiation commission,Fee for the purchase of documents under sight credit for the first ten days.
discount_code_17,17,Return commission,"Fee for cheques, bills and collections returned unpaid and/or recalled."
discount_code_18,18,B/L splitting charges,Fee for the splitting of bills of lading.
discount_code_19,19,Trust commission,Fee for the handling on a fiduciary basis of imported goods that have been warehoused.
discount_code_20,20,Transfer commission,Fee for the transfer of transferable documentary credits.
discount_code_21,21,Commission for opening irrevocable documentary credits,"Fee for opening irrevocable documentary credits. This fee is a kind of 'Guarantee commission' as compensation for the commitment into which the bank have entered on the customers behalf; similar to confirmation commission, acceptance commission."
discount_code_22,22,Pre-advice commission,Fee for the pre-advice of a documentary credit.
discount_code_23,23,Supervisory commission,Fee for the supervising unconfirmed documentary credits with a deferred payment period.
discount_code_24,24,Model charges,Fee for decoding telex messages.
discount_code_25,25,Risk commission,Commission in addition to the confirmation commission for documentary credits from sensitive countries.
discount_code_26,26,Guarantee commission,Commission for drawing up guaranties.
discount_code_27,27,Reimbursement commission,"Fee for reimbursement of, for example, documentary credits."
discount_code_28,28,Stamp duty,Tax payable on bills in accordance with national bill of exchange legislation.
discount_code_29,29,Brokerage,"Brokers commission arising, in trade with foreign currencies."
discount_code_30,30,Bank charges,Charges deducted/claimed by other banks involved in the transaction.
discount_code_31,31,Bank charges information,Charges not included in the total charge amount i.e. the charges are for information only.
discount_code_32,32,Courier fee,Fee for use of courier service.
discount_code_33,33,Phone fee,Fee for use of phone.
discount_code_34,34,Postage fee,Fee for postage.
discount_code_35,35,S.W.I.F.T. fee,Fee for use of S.W.I.F.T.
discount_code_36,36,Telex fee,Fee for telex.
discount_code_37,37,Penalty for late delivery of documents,Penalty imposed when documents are delivered late.
discount_code_38,38,Penalty for late delivery of valuation of works,Penalty imposed when valuation of works is delivered late.
discount_code_39,39,Penalty for execution of works behind schedule,Penalty imposed when the execution of works is behind schedule.
discount_code_40,40,Other penalties,Penalty imposed for other reasons.
discount_code_41,41,Bonus for works ahead of schedule,Bonus for completing work ahead of schedule.
discount_code_42,42,Other bonus,Bonus earned for other reasons.
discount_code_44,44,Project management cost,Cost for project management.
discount_code_45,45,Pro rata retention,Proportional retention charge.
discount_code_46,46,Contractual retention,Contractual retention charge.
discount_code_47,47,Other retentions,Retention charge not otherwise specified.
discount_code_48,48,Interest on arrears,Interest for late payment.
discount_code_49,49,Interest,Cost of using money.
discount_code_50,50,Charge per credit cover,Unit charge per credit cover established.
discount_code_51,51,Charge per unused credit cover,Unit charge per unused credit cover.
discount_code_52,52,Minimum commission,Minimum commission charge.
discount_code_53,53,Factoring commission,Commission charged for factoring services.
discount_code_54,54,Chamber of commerce charge,Identifies the charges from the chamber of commerce.
discount_code_55,55,Transfer charges,Charges for transfer.
discount_code_56,56,Repatriation charges,Charges for repatriation.
discount_code_57,57,Miscellaneous charges,Not specifically defined charges.
discount_code_58,58,Foreign exchange charges,Charges for foreign exchange.
discount_code_59,59,Agreed debit interest charge,Charge for agreed debit interest
